15,16,21,14.142,0.53915,28,24,21,14.142,0.53773,11,8,21,14.142,0.55428
15,15,18.304,12.424,0.3977,28,29,22.613,12.407,0.4007,11,17,13.794,12.63,0.41521
15,17,16.99,3.1475,0.30033,28,30,25.172,6.1192,0.32855,11,11,15.125,3.0221,0.32805
15,14,16.993,2.116,0.2586,28,27,26.759,5.3782,0.28417,11,22,13.772,3.5827,0.45567
42,43,16.219,2.4564,1,28,26,26.827,4.262,0.24262,11,7,17.521,6.6621,0.59699
42,40,43,3.033,0.50788,28,27,26.626,3.6424,0.21439,11,16,11.24,6.9769,0.45085
42,42,41.476,2.6328,0.34829,28,23,26.707,3.216,0.20869,11,16,13.386,6.046,0.34471
42,41,41.659,2.2273,0.26652,28,28,25.933,3.3504,0.2202,11,19,14.287,5.3712,0.29499
42,42,41.483,1.9851,0.21895,7,11,26.388,3.1684,0.9997,11,10,15.677,5.2223,0.28668
29,28,41.596,1.8109,1,7,5,11.005,4.0532,0.53791,11,13,14.05,5.3108,0.2763
29,31,28,2.3191,0.51676,7,5,7.7747,3.8864,0.3986,11,9,13.76,4.8944,0.25488
29,27,29.55,2.121,0.3701,7,9,6.6687,3.5311,0.30887,35,32,12.547,4.9029,0.99074
29,30,28.606,2.0655,0.29508,7,6,7.3887,3.3158,0.25785,35,36,31.82,6.3696,0.5535
4,2,29.018,1.9385,1,7,10,7.0307,3.1182,0.231,35,33,34.134,5.3024,0.38074
4,6,2,2.4041,0.52361,7,6,7.7166,3.0954,0.21955,35,27,33.702,4.7755,0.33026
4,8,4.0944,2.3032,0.40538,7,5,7.3397,2.9777,0.20443,35,37,31.489,5.0331,0.3389
4,4,5.6777,2.4063,0.34745,7,7,6.8614,2.9265,0.19341,35,43,33.356,4.9873,0.39935
4,2,5.0948,2.2377,0.28777,22,23,6.8882,2.7984,1,35,32,37.208,6.1044,0.46342
24,27,4.2042,2.2946,1,22,22,23,3.6227,0.51192,35,36,34.794,5.5195,0.34705
24,25,27,2.8067,0.51145,22,18,22.488,3.0573,0.37531,35,26,35.213,5.1101,0.35908
24,24,25.977,2.4038,0.35495,22,19,20.804,3.0905,0.32601,35,26,31.905,5.9606,0.42617
24,26,25.275,2.2562,0.27812,22,19,20.216,2.9066,0.264,35,29,29.388,5.6144,0.33834
24,23,25.477,2.1255,0.23895,22,23,19.895,2.7719,0.23616,35,40,29.257,5.2372,0.41488
13,12,24.885,2.1357,1,22,20,20.628,2.7904,0.22531,7,12,33.714,6.7174,0.93898
13,11,12,2.6841,0.50915,22,23,20.487,2.6807,0.20576,7,20,13.325,7.8261,0.62618
13,13,11.491,2.2785,0.34987,38,37,21.004,2.6712,1,7,1,17.505,6.3054,0.72991
13,12,12.019,2.1274,0.27203,38,42,37,3.4144,0.52923,7,13,5.4578,8.6627,0.65814
33,33,12.014,2.0109,1,38,37,39.646,3.1156,0.38564,7,7,10.422,6.7102,0.4288
33,32,33,2.5215,0.50868,38,39,38.626,2.9042,0.29634,7,14,8.9544,6.1183,0.33757
33,32,32.491,2.1482,0.34708,38,40,38.737,2.7419,0.24277,7,4,10.658,5.9164,0.3124
33,35,32.321,1.9866,0.28089,38,37,39.043,2.646,0.21416,7,16,8.5778,5.9667,0.32209
4,6,33.073,2.0003,1,38,39,38.606,2.603,0.19612,7,18,10.968,6.088,0.33379
4,5,6,2.4609,0.50845,38,38,38.683,2.5274,0.17752,7,7,13.315,6.1183,0.3279
4,3,5.4916,2.1019,0.35531,38,40,38.562,2.4674,0.16667,7,0,11.245,6.0755,0.39846
4,4,4.6063,2.0246,0.28476,38,37,38.801,2.4327,0.16318,7,10,6.7641,7.1149,0.45421
